account_id,customer_id,account_type,balance,status,open_date,close_date,product_count
ACC_0013412,CUST_002646,Loan,86015.9,Active,2019-04-28 15:00:05,,4.0
ACC_0009973,CUST_001311,,56243.73,Active,2015-07-30 05:00:10,,2.0
ACC_0001793,CUST_003435,Current,9418.77,Dormant,2019-03-10 11:14:47,,2.0
ACC_0003433,CUST_008914,Loan,,Active,,,
ACC_0011564,CUST_009508,Savings,142715.0,Dormant,2022-06-19 13:41:28,,4.0
ACC_0009309,CUST_000292,Loan,128082.48,Active,,,
ACC_0007804,CUST_008050,Savings,82602.83,Active,2022-08-14 07:57:51,,
ACC_0001167,CUST_000080,,139449.81,Active,2018-11-27 17:34:38,,
ACC_0013506,CUST_007053,Loan,125365.73,Active,2015-02-12 16:58:05,,4.0
ACC_0000388,CUST_003820,Current,,Dormant,2023-01-09 07:27:24,,3.0
ACC_0010014,CUST_000514,Loan,85793.97,Active,2016-12-13 15:58:06,,3.0
ACC_0006751,CUST_008635,Savings,121098.4,,2020-11-21 07:19:26,,1.0
ACC_0008604,CUST_008660,Savings,118162.44,Active,2017-08-07 15:36:46,,2.0
ACC_0002535,CUST_003893,,56236.06,Active,2017-05-01 12:31:44,,4.0
ACC_0003427,CUST_005465,Current,89259.92,Dormant,2019-10-23 06:25:32,,3.0
ACC_0003665,CUST_000676,Fixed Deposit,148922.41,,2018-04-19 10:07:53,,4.0
ACC_0008985,CUST_000041,,32072.6,Closed,,2022-02-24 21:20:27,2.0
ACC_0009940,CUST_004558,,22453.84,Active,2016-07-16 21:28:26,,2.0
ACC_0011255,CUST_007664,,117335.74,Active,2021-12-27 13:18:33,,3.0
ACC_0004744,CUST_002519,Savings,24871.11,Active,2018-04-23 12:58:15,,1.0
ACC_0007848,CUST_003087,Loan,2742.24,Active,2016-11-24 17:42:25,,1.0
ACC_0011426,CUST_001920,Savings,75769.25,Dormant,2018-01-13 15:54:46,,2.0
ACC_0004635,CUST_005217,Fixed Deposit,112175.24,Active,2016-07-14 17:38:15,,4.0
ACC_0013238,CUST_002418,Fixed Deposit,29600.21,Closed,2020-11-10 07:52:58,2022-10-20 07:52:58,
ACC_0013719,CUST_001114,Savings,,Active,2016-09-25 02:13:59,,4.0
ACC_0010810,CUST_004324,Fixed Deposit,,,2017-09-17 15:55:53,,1.0
