customer_id,age,gender,region,segment,signup_date,churn_label,churn_date,relationship_manager,branch
CUST_004283,24.0,Female,,Corporate,,1,2020-01-03 20:12:07,RM_033,BR_003
CUST_001769,37.0,Male,,,2017-11-14 14:13:04,0,,RM_025,BR_006
CUST_009465,39.0,Female,West,Corporate,2016-10-11 15:51:20,0,,RM_042,BR_029
CUST_005261,72.0,Male,East,Premium,2016-07-27 12:32:27,0,,,BR_015
CUST_007395,42.0,Female,West,Retail,2019-07-28 23:53:05,0,,RM_006,BR_012
CUST_004027,,Male,Central,Corporate,2017-04-14 00:07:14,0,,RM_015,BR_002
CUST_008681,64.0,Male,South,Retail,2021-03-07 22:29:24,0,,RM_039,BR_030
CUST_001898,26.0,Female,East,Corporate,,0,,RM_032,BR_024
CUST_007839,52.0,Female,West,SME,,1,2023-05-16 13:55:13,RM_011,BR_012
CUST_002979,63.0,,,,,1,2022-01-07 08:16:45,RM_044,BR_008
CUST_008524,43.0,Female,Central,Retail,2021-06-06 00:23:46,0,,RM_014,BR_030
CUST_001884,29.0,Female,South,SME,,0,,RM_045,BR_011
CUST_004518,31.0,Male,West,Corporate,2018-11-22 21:11:53,0,,RM_004,BR_023
CUST_007542,55.0,Male,South,,2021-11-14 17:17:05,0,,RM_009,BR_028
CUST_007259,64.0,,,Premium,2019-10-28 05:34:29,0,,RM_044,BR_010
CUST_008652,,Female,West,Retail,2019-01-10 12:32:13,0,,,BR_024
CUST_003781,,Female,West,Corporate,2016-07-02 14:00:03,1,2020-03-20 14:00:03,RM_044,BR_002
CUST_002672,40.0,Male,South,Retail,,1,2024-08-24 14:41:11,RM_045,
CUST_000645,66.0,Male,Central,Premium,2017-10-15 13:50:05,0,,RM_009,BR_019
CUST_009217,68.0,Female,North,Retail,2016-02-26 22:58:16,1,2016-06-17 22:58:16,RM_041,BR_010
CUST_001486,29.0,Female,East,Premium,,1,2018-07-01 19:47:56,RM_035,BR_026
CUST_004418,20.0,Male,North,Retail,2022-05-30 14:14:37,0,,RM_036,BR_022
CUST_003751,34.0,Female,,Retail,2020-05-29 15:48:47,0,,,BR_024
CUST_009955,42.0,Female,North,SME,2017-10-29 08:41:39,1,2021-04-24 08:41:39,RM_047,BR_016
CUST_000755,51.0,Female,East,Corporate,2018-09-20 09:04:47,1,2019-09-06 09:04:47,RM_019,BR_009
CUST_005087,25.0,,South,Retail,2016-06-20 10:05:31,0,,RM_012,
