interaction_id,customer_id,date,channel,reason,resolved,sentiment_score
INT_0018130,CUST_009974,2019-04-17 19:20:01,,,Yes,9.5
INT_0013563,CUST_004238,2024-11-02 08:29:50,Call Centre,Complaint,Yes,4.6
INT_0017496,CUST_009965,2020-04-24 21:58:39,Branch,Complaint,Yes,5.0
INT_0003190,CUST_000295,2024-09-10 20:04:15,Branch,Inquiry,,
INT_0018546,CUST_000577,2024-02-01 04:26:58,Email,Inquiry,Yes,6.5
INT_0015086,CUST_007300,2022-03-29 06:26:27,,Loan Query,Yes,4.3
INT_0016054,CUST_000657,2019-02-11 19:58:12,Email,Account Issue,,4.8
INT_0008734,CUST_007259,2022-04-24 09:59:03,Chat,Inquiry,Yes,2.5
INT_0003154,CUST_002925,2020-01-26 23:45:15,,Feedback,No,10.0
INT_0010604,CUST_004123,2021-03-16 13:17:46,Email,Feedback,Yes,
INT_0003458,CUST_007493,2020-12-13 03:27:37,Call Centre,Account Issue,Yes,
INT_0002511,CUST_006521,2023-08-18 00:13:27,,Inquiry,Yes,
INT_0012487,CUST_006227,2020-08-17 16:17:37,Email,Account Issue,Yes,2.8
INT_0009070,CUST_007176,2022-05-29 03:14:15,Email,,Yes,
INT_0014062,CUST_009908,2020-02-14 15:18:22,Chat,Loan Query,Yes,5.4
INT_0010351,CUST_009144,2019-03-02 16:30:44,,Inquiry,Yes,6.8
INT_0005754,CUST_009118,2020-09-11 00:02:26,Branch,,Yes,
INT_0016897,CUST_004564,2022-07-09 13:34:39,Chat,Complaint,Yes,5.8
INT_0001794,CUST_001897,2021-05-22 20:55:42,Branch,Loan Query,Yes,
INT_0008526,CUST_006926,2024-09-20 14:24:40,Branch,Inquiry,Yes,6.1
INT_0008422,CUST_002585,2023-06-27 20:14:33,,Feedback,Yes,9.0
INT_0018230,CUST_006794,2023-05-02 11:08:56,,Feedback,,
INT_0015364,CUST_004967,2021-06-30 14:06:42,,Account Issue,,
INT_0000752,CUST_008016,2022-05-16 04:36:09,Chat,,No,9.8
INT_0000544,CUST_009414,2022-05-02 12:25:48,Chat,Feedback,Yes,9.4
INT_0004037,CUST_000527,2020-04-07 19:22:09,Branch,Inquiry,Yes,8.0
INT_0018654,CUST_003368,,Call Centre,Account Issue,Yes,
INT_0003402,CUST_008774,2022-12-18 12:59:35,Chat,Inquiry,Yes,7.3
INT_0009132,CUST_009084,2020-05-20 18:54:24,Branch,Feedback,Yes,6.3
INT_0016057,CUST_000960,2019-09-21 20:38:40,Call Centre,Feedback,,8.4
INT_0006677,CUST_007059,2018-08-11 03:33:49,Chat,Complaint,No,2.5
INT_0003882,CUST_003609,2022-09-19 13:42:27,Chat,Complaint,Yes,5.8
INT_0015707,CUST_008173,2024-10-16 13:15:42,Email,Account Issue,Yes,8.8
